Date,Open,High,Low,Close,Adj Close,Volume
2018-08-20,424.000000,424.000000,424.000000,424.000000,424.000000,2100
2018-08-21,530.000000,530.000000,515.000000,530.000000,530.000000,15075600
2018-08-22,530.000000,530.000000,530.000000,530.000000,530.000000,0
2018-08-23,660.000000,660.000000,655.000000,660.000000,660.000000,17345200
2018-08-24,810.000000,825.000000,750.000000,825.000000,825.000000,61902600
2018-08-27,850.000000,970.000000,640.000000,730.000000,730.000000,76633700
2018-08-28,740.000000,795.000000,735.000000,770.000000,770.000000,18486800
2018-08-29,780.000000,850.000000,775.000000,835.000000,835.000000,20145400
2018-08-30,850.000000,860.000000,825.000000,835.000000,835.000000,14392800
2018-08-31,800.000000,845.000000,640.000000,790.000000,790.000000,7438500
2018-09-03,810.000000,810.000000,690.000000,790.000000,790.000000,2639000
2018-09-04,800.000000,815.000000,790.000000,800.000000,800.000000,3455300
2018-09-05,800.000000,805.000000,710.000000,780.000000,780.000000,2481800
2018-09-06,775.000000,895.000000,750.000000,850.000000,850.000000,11492100
2018-09-07,870.000000,875.000000,800.000000,855.000000,855.000000,1867200
2018-09-10,850.000000,1045.000000,840.000000,1010.000000,1010.000000,17064300
2018-09-10,850.000000,1045.000000,840.000000,1010.000000,1010.000000,17064300
