Date,Open,High,Low,Close,Adj Close,Volume
2003-12-29,177.500000,187.500000,177.500000,187.500000,81.521843,490000
2003-12-30,175.000000,195.000000,175.000000,195.000000,84.782722,146000
2003-12-31,null,null,null,null,null,null
2004-01-01,null,null,null,null,null,null
2004-01-02,197.500000,200.000000,197.500000,200.000000,86.956642,129000
2004-01-05,200.000000,200.000000,200.000000,200.000000,86.956642,749000
2004-01-06,250.000000,250.000000,197.500000,197.500000,85.869690,0
2004-01-07,250.000000,250.000000,200.000000,200.000000,86.956642,0
2004-01-08,217.500000,230.000000,217.500000,230.000000,100.000145,320000
2004-01-09,232.500000,237.500000,232.500000,237.500000,103.261017,391000
2004-01-12,237.500000,240.000000,237.500000,240.000000,104.347977,271000
2004-01-13,242.500000,250.000000,242.500000,250.000000,108.695816,567000
2004-01-14,250.000000,250.000000,250.000000,250.000000,108.695816,746000
2004-01-15,262.500000,262.500000,262.500000,262.500000,114.130608,2000
2004-01-16,237.500000,237.500000,237.500000,237.500000,103.261017,5000
2004-01-19,237.500000,237.500000,225.000000,225.000000,97.826225,0
2004-01-20,225.000000,225.000000,222.500000,222.500000,96.739250,125000
2004-01-21,212.500000,242.500000,212.500000,242.500000,105.434937,36000
2004-01-22,null,null,null,null,null,null
2004-01-23,247.500000,247.500000,212.500000,212.500000,92.391426,0
2004-01-26,212.500000,212.500000,212.500000,212.500000,92.391426,12000
2004-01-27,247.500000,247.500000,215.000000,215.000000,93.478386,11000
2004-01-28,212.500000,225.000000,212.500000,225.000000,97.826225,465000
2004-01-29,245.000000,245.000000,245.000000,245.000000,106.521873,1000
2004-01-30,247.500000,247.500000,215.000000,215.000000,93.478386,0
2004-02-02,null,null,null,null,null,null
2004-02-03,212.500000,212.500000,212.500000,212.500000,92.391426,5000
2004-02-04,225.000000,225.000000,200.000000,200.000000,86.956642,0
2004-02-05,225.000000,225.000000,225.000000,225.000000,97.826225,0
2004-02-06,250.000000,250.000000,250.000000,250.000000,108.695816,1000
2004-02-09,200.000000,200.000000,200.000000,200.000000,86.956642,37000
2004-02-10,225.000000,225.000000,200.000000,200.000000,86.956642,0
2004-02-11,225.000000,225.000000,200.000000,200.000000,86.956642,0
2004-02-12,237.500000,237.500000,200.000000,200.000000,86.956642,0
2004-02-13,225.000000,225.000000,202.500000,202.500000,88.043602,0
2004-02-16,200.000000,200.000000,200.000000,200.000000,86.956642,23000
2004-02-17,262.500000,262.500000,200.000000,200.000000,86.956642,0
2004-02-18,262.500000,262.500000,200.000000,200.000000,86.956642,0
2004-02-19,237.500000,237.500000,202.500000,202.500000,88.043602,0
2004-02-20,262.500000,262.500000,200.000000,200.000000,86.956642,0
2004-02-23,null,null,null,null,null,null
2004-02-24,200.000000,200.000000,200.000000,200.000000,86.956642,2000
2004-02-25,200.000000,200.000000,200.000000,200.000000,86.956642,20000
2004-02-26,200.000000,200.000000,200.000000,200.000000,86.956642,100000
2004-02-27,225.000000,225.000000,200.000000,200.000000,86.956642,0
2004-03-01,235.000000,235.000000,202.500000,202.500000,88.043602,0
2004-03-02,225.000000,225.000000,200.000000,200.000000,86.956642,0
2004-03-03,200.000000,200.000000,200.000000,200.000000,86.956642,65000
2004-03-04,202.500000,202.500000,202.500000,202.500000,88.043602,5000
2004-03-05,212.500000,212.500000,200.000000,200.000000,86.956642,0
2004-03-08,212.500000,212.500000,200.000000,200.000000,86.956642,0
2004-03-09,200.000000,200.000000,200.000000,200.000000,86.956642,25000
2004-03-10,200.000000,200.000000,200.000000,200.000000,86.956642,2000
2004-03-11,212.500000,212.500000,175.000000,175.000000,76.087067,0
2004-03-12,212.500000,212.500000,175.000000,175.000000,76.087067,0
2004-03-15,212.500000,212.500000,177.500000,177.500000,77.174011,0
2004-03-16,212.500000,212.500000,175.000000,175.000000,76.087067,0
2004-03-17,212.500000,212.500000,175.000000,175.000000,76.087067,0
2004-03-18,212.500000,212.500000,175.000000,175.000000,76.087067,0
2004-03-19,212.500000,212.500000,175.000000,175.000000,76.087067,0
2004-03-22,null,null,null,null,null,null
2004-03-23,212.500000,212.500000,175.000000,175.000000,76.087067,0
2004-03-24,210.000000,210.000000,210.000000,210.000000,91.304482,1000
2004-03-25,200.000000,200.000000,175.000000,175.000000,76.087067,0
2004-03-26,212.500000,212.500000,175.000000,175.000000,76.087067,0
2004-03-29,212.500000,212.500000,175.000000,175.000000,76.087067,0
2004-03-30,212.500000,212.500000,175.000000,175.000000,76.087067,0
2004-03-31,222.500000,222.500000,177.500000,177.500000,77.174011,2000
2004-04-01,205.000000,205.000000,165.000000,165.000000,71.739227,0
2004-04-02,212.500000,212.500000,162.500000,162.500000,70.652275,0
2004-04-05,null,null,null,null,null,null
2004-04-06,212.500000,212.500000,162.500000,162.500000,70.652275,0
2004-04-07,165.000000,165.000000,165.000000,165.000000,71.739227,1000
2004-04-08,165.000000,165.000000,165.000000,165.000000,71.739227,0
2004-04-09,null,null,null,null,null,null
2004-04-12,210.000000,210.000000,210.000000,210.000000,91.304482,1000
2004-04-13,175.000000,175.000000,175.000000,175.000000,76.087067,2000
2004-04-14,162.500000,162.500000,162.500000,162.500000,70.652275,5000
2004-04-15,212.500000,212.500000,162.500000,162.500000,70.652275,0
2004-04-16,212.500000,212.500000,162.500000,162.500000,70.652275,0
2004-04-19,212.500000,212.500000,162.500000,162.500000,70.652275,0
2004-04-20,212.500000,212.500000,162.500000,162.500000,70.652275,0
2004-04-21,212.500000,212.500000,162.500000,162.500000,70.652275,0
2004-04-22,212.500000,212.500000,162.500000,162.500000,70.652275,0
2004-04-23,210.000000,210.000000,210.000000,210.000000,91.304482,1000
2004-04-26,212.500000,212.500000,162.500000,162.500000,70.652275,0
2004-04-27,210.000000,210.000000,162.500000,162.500000,70.652275,0
2004-04-28,200.000000,200.000000,165.000000,165.000000,71.739227,0
2004-04-29,200.000000,200.000000,165.000000,165.000000,71.739227,0
2004-04-30,200.000000,200.000000,162.500000,162.500000,70.652275,0
2004-05-03,null,null,null,null,null,null
2004-05-04,210.000000,210.000000,162.500000,162.500000,70.652275,0
2004-05-05,210.000000,210.000000,162.500000,162.500000,70.652275,0
2004-05-06,187.500000,187.500000,187.500000,187.500000,81.521843,5000
2004-05-07,162.500000,162.500000,162.500000,162.500000,70.652275,9000
2004-05-10,150.000000,150.000000,150.000000,150.000000,65.217476,7000
2004-05-11,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-12,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-13,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-14,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-17,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-18,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-19,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-20,null,null,null,null,null,null
2004-05-21,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-24,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-25,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-26,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-27,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-28,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-05-31,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-06-01,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-06-02,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-06-03,null,null,null,null,null,null
2004-06-04,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-06-07,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-06-08,152.500000,152.500000,152.500000,152.500000,66.304436,0
2004-06-09,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-06-10,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-06-11,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-06-14,150.000000,150.000000,150.000000,150.000000,65.217476,0
2004-06-15,160.000000,160.000000,150.000000,150.000000,65.217476,0
2004-06-16,150.000000,157.500000,150.000000,157.500000,68.478355,107000
2004-06-17,160.000000,165.000000,160.000000,165.000000,71.739227,85000
2004-06-18,167.500000,172.500000,167.500000,172.500000,75.000092,90000
2004-06-21,177.500000,177.500000,177.500000,177.500000,77.174011,85000
2004-06-22,180.000000,187.500000,180.000000,187.500000,81.521843,115000
2004-06-23,190.000000,195.000000,190.000000,195.000000,84.782722,70000
2004-06-24,190.000000,197.500000,190.000000,197.500000,85.869690,75000
2004-06-25,200.000000,210.000000,200.000000,210.000000,91.304482,101000
2004-06-28,215.000000,217.500000,215.000000,217.500000,94.565361,60000
2004-06-29,220.000000,225.000000,212.500000,217.500000,94.565361,88000
2004-06-30,220.000000,227.500000,200.000000,227.500000,98.913177,278000
2004-07-01,237.500000,237.500000,200.000000,200.000000,86.956642,0
2004-07-02,227.500000,227.500000,200.000000,200.000000,86.956642,0
2004-07-05,null,null,null,null,null,null
2004-07-06,235.000000,235.000000,235.000000,235.000000,102.174072,0
2004-07-07,237.500000,237.500000,200.000000,200.000000,86.956642,0
